time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.000125000, qpos=[2.75000015625 0], qvel=[0.00125 0], normal_force=9.118771666011567, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.5625000004959588e-07, contact_distance=-1.5625000004959588e-07, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.000250000, qpos=[2.7500003262691926 0], qvel=[0.0013601535417485562 0], normal_force=9.129588831466053, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.2626919255207554e-07, contact_distance=-3.2626919255207554e-07, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.000375000, qpos=[2.7500005098885598 0], qvel=[0.0014689549378152991 0], normal_force=9.140308487359887, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-5.098885598187053e-07, contact_distance=-5.098885598187053e-07, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.000500000, qpos=[2.7500007069406069 0], qvel=[0.0015764163768953131 0], normal_force=9.150931427850402, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-7.06940606942652e-07, contact_distance=-7.06940606942652e-07, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.000625000, qpos=[2.7500009172593507 0], qvel=[0.0016825499484140131 0], normal_force=9.16145844199675, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-9.17259350696753e-07, contact_distance=-9.17259350696753e-07, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.000750000, qpos=[2.7500011406803062 0], qvel=[0.0017873676431644195 0], normal_force=9.171890313752192, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.1406803062108395e-06, contact_distance=-1.1406803062108395e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.000875000, qpos=[2.7500013770404754 0], qvel=[0.0018908813539453956 0], normal_force=9.182227821961227, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.3770404754254173e-06, contact_distance=-1.3770404754254173e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.001000000, qpos=[2.7500016261783351 0], qvel=[0.0019931028762002422 0], normal_force=9.192471740356536, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.6261783351012582e-06, contact_distance=-1.6261783351012582e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.001125000, qpos=[2.7500018879338235 0], qvel=[0.0020940439086556753 0], normal_force=9.202622837553678, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.8879338234967236e-06, contact_distance=-1.8879338234967236e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.001250000, qpos=[2.7500021621483302 0], qvel=[0.0021937160539614656 0], normal_force=9.212681877053605, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.1621483301537125e-06, contact_distance=-2.1621483301537125e-06, rho=0.0, mode=QUASI_STICK, phase=SETTLE
