time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[9.9999999999997868 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.999999999999787), damping_force=np.float64(0.0), contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.000125000, qpos=[2.75000015625 0], qvel=[0.0012499999999999734 0], normal_force=9.084881040919369, tangential_force=0.0, Fctrl=[9.9623437499997376 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.999843749999737), damping_force=np.float64(-0.0374999999999992), contact_flag=True, gap=-1.5625000004959588e-07, contact_distance=-1.5625000004959588e-07, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.000250000, qpos=[2.7500003262103547 0], qvel=[0.0013596828386350178 0], normal_force=9.092539080081522, tangential_force=0.0, Fctrl=[9.9588833044860081 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.999673789645058), damping_force=np.float64(-0.04079048515905054), contact_flag=True, gap=-3.262103547285733e-07, contact_distance=-3.262103547285733e-07, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.000375000, qpos=[2.7500005097073381 0], qvel=[0.0014679758666855788 0], normal_force=9.100121240280751, tangential_force=0.0, Fctrl=[9.9554510166611045 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.999490292661672), damping_force=np.float64(-0.04403927600056737), contact_flag=True, gap=-5.097073381143957e-07, contact_distance=-5.097073381143957e-07, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.000500000, qpos=[2.7500007065688492 0], qvel=[0.0015748920887331231 0], normal_force=9.107628186168817, tangential_force=0.0, Fctrl=[9.9520466684885864 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.99929343115058), damping_force=np.float64(-0.047246762661993694), contact_flag=True, gap=-7.065688492069455e-07, contact_distance=-7.065688492069455e-07, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.000625000, qpos=[2.750000916624399 0], qvel=[0.0016804443990230942 0], normal_force=9.11506057796263, tangential_force=0.0, Fctrl=[9.9486700436300435 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.999083375600737), damping_force=np.float64(-0.05041333197069282), contact_flag=True, gap=-9.166243990499368e-07, contact_distance=-9.166243990499368e-07, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.000750000, qpos=[2.750001139705097 0], qvel=[0.0017846455822315209 0], normal_force=9.122419071437823, tangential_force=0.0, Fctrl=[9.9453209274358763 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.998860294902823), damping_force=np.float64(-0.053539367466945625), contact_flag=True, gap=-1.1397050969641498e-06, contact_distance=-1.1397050969641498e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.000875000, qpos=[2.7500013756436363 0], qvel=[0.0018875083142312777 0], normal_force=9.129704317922586, tangential_force=0.0, Fctrl=[9.9419991069365121 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.99862435636345), damping_force=np.float64(-0.056625249426938334), contact_flag=True, gap=-1.3756436363365765e-06, contact_distance=-1.3756436363365765e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.001000000, qpos=[2.7500016242742817 0], qvel=[0.0019890451628580184 0], normal_force=9.136916964294194, tangential_force=0.0, Fctrl=[9.9387043708323048 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.998375725718045), damping_force=np.float64(-0.05967135488574055), contact_flag=True, gap=-1.6242742817418332e-06, contact_distance=-1.6242742817418332e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.001125000, qpos=[2.7500018854328552 0], qvel=[0.0020892685886752822 0], normal_force=9.144057652975148, tangential_force=0.0, Fctrl=[9.9354365094843526 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.998114567144611), damping_force=np.float64(-0.06267805766025847), contact_flag=True, gap=-1.8854328551753952e-06, contact_distance=-1.8854328551753952e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.001250000, qpos=[2.7500021589567232 0], qvel=[0.0021881909457389329 0], normal_force=9.151127021931389, tangential_force=0.0, Fctrl=[9.932195314904444 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.997841043276612), damping_force=np.float64(-0.06564572837216799), contact_flag=True, gap=-2.1589567231750095e-06, contact_distance=-2.1589567231750095e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.001375000, qpos=[2.7500024446847835 0], qvel=[0.0022858244823605648 0], normal_force=9.158125704670667, tangential_force=0.0, Fctrl=[9.9289805807454723 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.997555315216289), damping_force=np.float64(-0.06857473447081694), contact_flag=True, gap=-2.444684783498019e-06, contact_distance=-2.444684783498019e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.001500000, qpos=[2.7500027424574514 0], qvel=[0.0023821813418699158 0], normal_force=9.165054330241114, tangential_force=0.0, Fctrl=[9.9257921022923341 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.997257542548432), damping_force=np.float64(-0.07146544025609747), contact_flag=True, gap=-2.7424574513545963e-06, contact_distance=-2.7424574513545963e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.001625000, qpos=[2.750003052116647 0], qvel=[0.0024772735633763186 0], normal_force=9.171913523232385, tangential_force=0.0, Fctrl=[9.9226296764515247 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.996947883352814), damping_force=np.float64(-0.07431820690128955), contact_flag=True, gap=-3.0521166469732464e-06, contact_distance=-3.0521166469732464e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.001750000, qpos=[2.7500033735057823 0], qvel=[0.0025711130825287107 0], normal_force=9.178703903776324, tangential_force=0.0, Fctrl=[9.9194931017416472 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.996626494217509), damping_force=np.float64(-0.07713339247586132), contact_flag=True, gap=-3.37350578227813e-06, contact_distance=-3.37350578227813e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.001875000, qpos=[2.7500037064697489 0], qvel=[0.0026637117322743761 0], normal_force=9.185426087550143, tangential_force=0.0, Fctrl=[9.9163821782826567 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.996293530250888), damping_force=np.float64(-0.07991135196823128), contact_flag=True, gap=-3.7064697488986553e-06, contact_distance=-3.7064697488986553e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002000000, qpos=[2.7500040508549044 0], qvel=[0.0027550812436159407 0], normal_force=9.192080685777885, tangential_force=0.0, Fctrl=[9.9132967077869054 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.995949145095384), damping_force=np.float64(-0.08265243730847822), contact_flag=True, gap=-4.050854904402712e-06, contact_distance=-4.050854904402712e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002125000, qpos=[2.7500044065090603 0], qvel=[0.0028452332463670682 0], normal_force=9.198668305235007, tangential_force=0.0, Fctrl=[9.910236493548469 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.99559349093948), damping_force=np.float64(-0.08535699739101205), contact_flag=True, gap=-4.406509060306263e-06, contact_distance=-4.406509060306263e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002250000, qpos=[2.7500047732814692 0], qvel=[0.0029341792699062513 0], normal_force=9.205189548252337, tangential_force=0.0, Fctrl=[9.9072013404334047 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.995226718530592), damping_force=np.float64(-0.08802537809718754), contact_flag=True, gap=-4.773281469194757e-06, contact_distance=-4.773281469194757e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002375000, qpos=[2.7500051510228123 0], qvel=[0.0030219307439288846 0], normal_force=9.211645012721359, tangential_force=0.0, Fctrl=[9.9041910548696315 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.994848977187498), damping_force=np.float64(-0.09065792231786654), contact_flag=True, gap=-5.15102281228863e-06, contact_distance=-5.15102281228863e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002500000, qpos=[2.750005539585187 0], qvel=[0.0031084989991974183 0], normal_force=9.21803529210004, tangential_force=0.0, Fctrl=[9.9012054448368563 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.994460414812778), damping_force=np.float64(-0.09325496997592254), contact_flag=True, gap=-5.539585187008811e-06, contact_distance=-5.539585187008811e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002625000, qpos=[2.7500059388220954 0], qvel=[0.0031938952682895204 0], normal_force=9.224360975420465, tangential_force=0.0, Fctrl=[9.8982443198556709 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.994061177904356), damping_force=np.float64(-0.09581685804868562), contact_flag=True, gap=-5.938822095430396e-06, contact_distance=-5.938822095430396e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002750000, qpos=[2.7500063485884314 0], qvel=[0.0032781306863439211 0], normal_force=9.230622647295279, tangential_force=0.0, Fctrl=[9.8953074909780643 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.993651411568383), damping_force=np.float64(-0.09834392059031763), contact_flag=True, gap=-6.3485884314040675e-06, contact_distance=-6.3485884314040675e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.002875000, qpos=[2.7500067687404677 0], qvel=[0.0033612162918042693 0], normal_force=9.23682088792464, tangential_force=0.0, Fctrl=[9.8923947707779813 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.99323125953211), damping_force=np.float64(-0.10083648875412808), contact_flag=True, gap=-6.768740467677503e-06, contact_distance=-6.768740467677503e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003000000, qpos=[2.7500071991358461 0], qvel=[0.0034431630271609366 0], normal_force=9.242956273107966, tangential_force=0.0, Fctrl=[9.8895059733388333 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.992800864153661), damping_force=np.float64(-0.1032948908148281), contact_flag=True, gap=-7.199135846125415e-06, contact_distance=-7.199135846125415e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003125000, qpos=[2.7500076396335635 0], qvel=[0.0035239817396897949 0], normal_force=9.249029374250128, tangential_force=0.0, Fctrl=[9.8866409142455538 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.992360366436248), damping_force=np.float64(-0.10571945219069384), contact_flag=True, gap=-7.639633563538695e-06, contact_distance=-7.639633563538695e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003250000, qpos=[2.7500080900939614 0], qvel=[0.0036036831821892228 0], normal_force=9.255040758373628, tangential_force=0.0, Fctrl=[9.8837994105726992 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.991909906038376), damping_force=np.float64(-0.10811049546567668), contact_flag=True, gap=-8.09009396141036e-06, contact_distance=-8.09009396141036e-06, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.003375000, qpos=[2.7500085503787131 0], qvel=[0.0036822780137141064 0], normal_force=9.260990988127583, tangential_force=0.0, Fctrl=[9.8809812808753072 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.99144962128673), damping_force=np.float64(-0.1104683404114232), contact_flag=True, gap=-8.550378713056972e-06, contact_distance=-8.550378713056972e-06, rho=0.0, mode=CONTACT, phase=SETTLE
