time=0.001, qpos=[1.e-05 0.e+00], qvel=[0.01 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.002, qpos=[3.e-05 0.e+00], qvel=[0.02 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.003, qpos=[6.e-05 0.e+00], qvel=[0.03 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.004, qpos=[0.0001 0.    ], qvel=[0.04 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.005, qpos=[0.00015 0.     ], qvel=[0.05 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.006, qpos=[0.00021 0.     ], qvel=[0.06 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.007, qpos=[0.00028 0.     ], qvel=[0.07 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.008, qpos=[0.00036 0.     ], qvel=[0.08 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.009, qpos=[0.00045 0.     ], qvel=[0.09 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.010, qpos=[0.00055 0.     ], qvel=[0.1 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.011, qpos=[0.00066 0.     ], qvel=[0.11 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.012, qpos=[0.00078 0.     ], qvel=[0.12 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.013, qpos=[0.00091 0.     ], qvel=[0.13 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.014, qpos=[0.00105 0.     ], qvel=[0.14 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.015, qpos=[0.0012 0.    ], qvel=[0.15 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.016, qpos=[0.00136 0.     ], qvel=[0.16 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.017, qpos=[0.00153 0.     ], qvel=[0.17 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.018, qpos=[0.00171 0.     ], qvel=[0.18 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.019, qpos=[0.0019 0.    ], qvel=[0.19 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.020, qpos=[0.0021 0.    ], qvel=[0.2 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.021, qpos=[0.00231 0.     ], qvel=[0.21 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.022, qpos=[0.00253 0.     ], qvel=[0.22 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.023, qpos=[0.00276 0.     ], qvel=[0.23 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.024, qpos=[0.003 0.   ], qvel=[0.24 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.025, qpos=[0.00325 0.     ], qvel=[0.25 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.026, qpos=[0.00351 0.     ], qvel=[0.26 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.027, qpos=[0.00378 0.     ], qvel=[0.27 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.028, qpos=[0.00406 0.     ], qvel=[0.28 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.029, qpos=[0.00435 0.     ], qvel=[0.29 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.030, qpos=[0.00465 0.     ], qvel=[0.3 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.031, qpos=[0.00496 0.     ], qvel=[0.31 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.032, qpos=[0.00528 0.     ], qvel=[0.32 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.033, qpos=[0.00561 0.     ], qvel=[0.33 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.034, qpos=[0.00595 0.     ], qvel=[0.34 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.035, qpos=[0.0063 0.    ], qvel=[0.35 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.036, qpos=[0.00666 0.     ], qvel=[0.36 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.037, qpos=[0.00703 0.     ], qvel=[0.37 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.038, qpos=[0.00741 0.     ], qvel=[0.38 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.039, qpos=[0.0078 0.    ], qvel=[0.39 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.040, qpos=[0.0082 0.    ], qvel=[0.4 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.041, qpos=[0.00861 0.     ], qvel=[0.41 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.042, qpos=[0.00903 0.     ], qvel=[0.42 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.043, qpos=[0.00946 0.     ], qvel=[0.43 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.044, qpos=[0.0099 0.    ], qvel=[0.44 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.045, qpos=[0.01035 0.     ], qvel=[0.45 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.046, qpos=[0.01081 0.     ], qvel=[0.46 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.047, qpos=[0.01128 0.     ], qvel=[0.47 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.048, qpos=[0.01176 0.     ], qvel=[0.48 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.049, qpos=[0.01225 0.     ], qvel=[0.49 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.050, qpos=[0.01275 0.     ], qvel=[0.5 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.051, qpos=[0.01326 0.     ], qvel=[0.51 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.052, qpos=[0.01378 0.     ], qvel=[0.52 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.053, qpos=[0.01431 0.     ], qvel=[0.53 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.054, qpos=[0.01485 0.     ], qvel=[0.54 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.055, qpos=[0.0154 0.    ], qvel=[0.55 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.056, qpos=[0.01596 0.     ], qvel=[0.56 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.057, qpos=[0.01653 0.     ], qvel=[0.57 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.058, qpos=[0.01711 0.     ], qvel=[0.58 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.059, qpos=[0.0177 0.    ], qvel=[0.59 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.060, qpos=[0.0183 0.    ], qvel=[0.6 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.061, qpos=[0.01891 0.     ], qvel=[0.61 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.062, qpos=[0.01953 0.     ], qvel=[0.62 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.063, qpos=[0.02016 0.     ], qvel=[0.63 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.064, qpos=[0.0208 0.    ], qvel=[0.64 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.065, qpos=[0.02145 0.     ], qvel=[0.65 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.066, qpos=[0.02211 0.     ], qvel=[0.66 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.067, qpos=[0.02278 0.     ], qvel=[0.67 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.068, qpos=[0.02346 0.     ], qvel=[0.68 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.069, qpos=[0.02415 0.     ], qvel=[0.69 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.070, qpos=[0.02485 0.     ], qvel=[0.7 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.071, qpos=[0.02556 0.     ], qvel=[0.71 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.072, qpos=[0.02628 0.     ], qvel=[0.72 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.073, qpos=[0.02701 0.     ], qvel=[0.73 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.074, qpos=[0.02775 0.     ], qvel=[0.74 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.075, qpos=[0.0285 0.    ], qvel=[0.75 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.076, qpos=[0.02926 0.     ], qvel=[0.76 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.077, qpos=[0.03003 0.     ], qvel=[0.77 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.078, qpos=[0.03081 0.     ], qvel=[0.78 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.079, qpos=[0.0316 0.    ], qvel=[0.79 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.080, qpos=[0.0324 0.    ], qvel=[0.8 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.081, qpos=[0.03321 0.     ], qvel=[0.81 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.082, qpos=[0.03403 0.     ], qvel=[0.82 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.083, qpos=[0.03486 0.     ], qvel=[0.83 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.084, qpos=[0.0357 0.    ], qvel=[0.84 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.085, qpos=[0.03655 0.     ], qvel=[0.85 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.086, qpos=[0.03741 0.     ], qvel=[0.86 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.087, qpos=[0.03828 0.     ], qvel=[0.87 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.088, qpos=[0.03916 0.     ], qvel=[0.88 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.089, qpos=[0.04005 0.     ], qvel=[0.89 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.090, qpos=[0.04095 0.     ], qvel=[0.9 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.091, qpos=[0.04186 0.     ], qvel=[0.91 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.092, qpos=[0.04278 0.     ], qvel=[0.92 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.093, qpos=[0.04371 0.     ], qvel=[0.93 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.094, qpos=[0.04465 0.     ], qvel=[0.94 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.095, qpos=[0.0456 0.    ], qvel=[0.95 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.096, qpos=[0.04656 0.     ], qvel=[0.96 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.097, qpos=[0.04753 0.     ], qvel=[0.97 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.098, qpos=[0.04851 0.     ], qvel=[0.98 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.099, qpos=[0.0495 0.    ], qvel=[0.99 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.100, qpos=[0.0505 0.    ], qvel=[1. 0.], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.101, qpos=[0.05151 0.     ], qvel=[1.01 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.102, qpos=[0.05253 0.     ], qvel=[1.02 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.103, qpos=[0.05356 0.     ], qvel=[1.03 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.104, qpos=[0.0546 0.    ], qvel=[1.04 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.105, qpos=[0.05565 0.     ], qvel=[1.05 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.106, qpos=[0.05671 0.     ], qvel=[1.06 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.107, qpos=[0.05778 0.     ], qvel=[1.07 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.108, qpos=[0.05886 0.     ], qvel=[1.08 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.109, qpos=[0.05995 0.     ], qvel=[1.09 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.110, qpos=[0.06105 0.     ], qvel=[1.1 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.111, qpos=[0.06216 0.     ], qvel=[1.11 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.112, qpos=[0.06328 0.     ], qvel=[1.12 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.113, qpos=[0.06441 0.     ], qvel=[1.13 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.114, qpos=[0.06555 0.     ], qvel=[1.14 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.115, qpos=[0.0667 0.    ], qvel=[1.15 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.116, qpos=[0.06786 0.     ], qvel=[1.16 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.117, qpos=[0.06903 0.     ], qvel=[1.17 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.118, qpos=[0.07021 0.     ], qvel=[1.18 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.119, qpos=[0.0714 0.    ], qvel=[1.19 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.120, qpos=[0.0726 0.    ], qvel=[1.2 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.121, qpos=[0.07381 0.     ], qvel=[1.21 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.122, qpos=[0.07503 0.     ], qvel=[1.22 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.123, qpos=[0.07626 0.     ], qvel=[1.23 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.124, qpos=[0.0775 0.    ], qvel=[1.24 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.125, qpos=[0.07875 0.     ], qvel=[1.25 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.126, qpos=[0.08001 0.     ], qvel=[1.26 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.127, qpos=[0.08128 0.     ], qvel=[1.27 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.128, qpos=[0.08256 0.     ], qvel=[1.28 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.129, qpos=[0.08385 0.     ], qvel=[1.29 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.130, qpos=[0.08515 0.     ], qvel=[1.3 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.131, qpos=[0.08646 0.     ], qvel=[1.31 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.132, qpos=[0.08778 0.     ], qvel=[1.32 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.133, qpos=[0.08911 0.     ], qvel=[1.33 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.134, qpos=[0.09045 0.     ], qvel=[1.34 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.135, qpos=[0.0918 0.    ], qvel=[1.35 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.136, qpos=[0.09316 0.     ], qvel=[1.36 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.137, qpos=[0.09453 0.     ], qvel=[1.37 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.138, qpos=[0.09591 0.     ], qvel=[1.38 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.139, qpos=[0.0973 0.    ], qvel=[1.39 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.140, qpos=[0.0987 0.    ], qvel=[1.4 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.141, qpos=[0.10011 0.     ], qvel=[1.41 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.142, qpos=[0.10153 0.     ], qvel=[1.42 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.143, qpos=[0.10296 0.     ], qvel=[1.43 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.144, qpos=[0.1044 0.    ], qvel=[1.44 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.145, qpos=[0.10585 0.     ], qvel=[1.45 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.146, qpos=[0.10731 0.     ], qvel=[1.46 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.147, qpos=[0.10878 0.     ], qvel=[1.47 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.148, qpos=[0.11026 0.     ], qvel=[1.48 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.149, qpos=[0.11175 0.     ], qvel=[1.49 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.150, qpos=[0.11325 0.     ], qvel=[1.5 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.151, qpos=[0.11476 0.     ], qvel=[1.51 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.152, qpos=[0.11628 0.     ], qvel=[1.52 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.153, qpos=[0.11781 0.     ], qvel=[1.53 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.154, qpos=[0.11935 0.     ], qvel=[1.54 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.155, qpos=[0.1209 0.    ], qvel=[1.55 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.156, qpos=[0.12246 0.     ], qvel=[1.56 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.157, qpos=[0.12403 0.     ], qvel=[1.57 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.158, qpos=[0.12561 0.     ], qvel=[1.58 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.159, qpos=[0.1272 0.    ], qvel=[1.59 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.160, qpos=[0.1288 0.    ], qvel=[1.6 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.161, qpos=[0.13041 0.     ], qvel=[1.61 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.162, qpos=[0.13203 0.     ], qvel=[1.62 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.163, qpos=[0.13366 0.     ], qvel=[1.63 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.164, qpos=[0.1353 0.    ], qvel=[1.64 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.165, qpos=[0.13695 0.     ], qvel=[1.65 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.166, qpos=[0.13861 0.     ], qvel=[1.66 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.167, qpos=[0.14028 0.     ], qvel=[1.67 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.168, qpos=[0.14196 0.     ], qvel=[1.68 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.169, qpos=[0.14365 0.     ], qvel=[1.69 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.170, qpos=[0.14535 0.     ], qvel=[1.7 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.171, qpos=[0.14706 0.     ], qvel=[1.71 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.172, qpos=[0.14878 0.     ], qvel=[1.72 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.173, qpos=[0.15051 0.     ], qvel=[1.73 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.174, qpos=[0.15225 0.     ], qvel=[1.74 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.175, qpos=[0.154 0.   ], qvel=[1.75 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.176, qpos=[0.15576 0.     ], qvel=[1.76 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.177, qpos=[0.15753 0.     ], qvel=[1.77 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.178, qpos=[0.15931 0.     ], qvel=[1.78 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.179, qpos=[0.1611 0.    ], qvel=[1.79 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.180, qpos=[0.1629 0.    ], qvel=[1.8 0. ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.181, qpos=[0.16471 0.     ], qvel=[1.81 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.182, qpos=[0.16653 0.     ], qvel=[1.82 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.183, qpos=[0.16836 0.     ], qvel=[1.83 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.184, qpos=[0.1702 0.    ], qvel=[1.84 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.185, qpos=[0.17205 0.     ], qvel=[1.85 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.186, qpos=[0.17391 0.     ], qvel=[1.86 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
time=0.187, qpos=[0.17578 0.     ], qvel=[1.87 0.  ], ncon=0, normal_force=0.000, tangential_force=0.000
